,Anbieter,Aufgaben,Bewerbungsdetail,Email,Frist,Kontakter,Profil vom Anbieter,Profil vom Bewerber,Tele,URL,id,stelle_name,stelle_type
30,FIR e.V. an der RWTH Aachen,"Zu Ihren Aufgaben gehört die Unterstützung aktueller, praxisnaher Industrie- und Forschungs-projekte auf nationaler und auf EU-Ebene. Sie bearbeiten eigenständig  Teilaspekte und recherchieren wissenschaftliche Texte. Zusätzlich wirken Sie an Veröffentlichungen mit und unterstützen das Tagesgeschäft durch das Erstellen von Präsentationen, Kalkulationen und Dokumenten. 
Bitte senden Sie uns Ihre vollständigen Bewerbungsunterlagen, bestehend  aus Anschreiben, Lebenslauf, Zeugnissen und einem aktuellen Notenauszug in digitaler Form. Bei Fragen wenden Sie sich gerne vorab telefonisch an Martin Bleider.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Die regelmäßige Wochenarbeitszeit beträgt 10-19 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Martin.Bleider@fir.rwth-aachen.de,15.04.2017,"Martin Bleider, M.Sc.","Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- Interessante und anspruchsvolle Aufgaben
- Praxisnahes Wissen und Erfahrung
- Die Möglichkeit der Betreuung von Studien- und Abschlussarbeiten
- Flexible Zeiteinteilung und selbständiges Arbeiten","- Sie sind Studentin/Student des Wirtschaftsingenieurwesens, des Maschinenbaus, der Informatik oder einer ähnlichen Fachrichtung
- Sie begeistern sich für moderne Informationstechnologie und deren Anwendung
- Sie verfügen über exzellente Deutschkenntnisse und gute bis sehr gute Englischkenntnisse in Wort und Schrift 
- Sie arbeiten gerne im Team und Ihre Arbeitsweise ist engagiert und leistungsorientiert 
- Sie sind geübt im Umgang mit Microsoft Office",+49 241 47705-522,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19421/,19421,Studentische Hilfskraft im Themenfeld IT-Strategie (w/m),Studentische Hilfskraft
31,FIR e.V. an der RWTH Aachen,"- Mitarbeit in aktuellen Beratungs- und Forschungsprojekten
- Unterstützung im operativen Tagesgeschäft 
- Eigenständige Erstellung und Unterstützung bei der Erstellung von kleinen Projektwebseiten und Web-Lösungen
Bitte schicken Sie bei Interesse Ihre Unterlagen (kurzes Anschreiben, Lebenslauf, Zeugnisse, aktueller Auszug des Notenspiegels) in digitaler Form an die angegebene E-Mail-Adresse.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Es besteht Interesse an längerfristiger Zusammenarbeit.Die regelmäßige Wochenarbeitszeit beträgt 10-19 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Tobias.Harland@fir.rwth-aachen.de,15.04.2017,Tobias Harland,"Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- interessante und anspruchsvolle Aufgaben
- praxisnahes Wissen und Erfahrung
- die Möglichkeit zur Mitarbeit in Beratungs- und Forschungsprojekten 
- flexible Zeiteinteilung und selbständiges Arbeiten
- die Möglichkeit zur Erstellung von Studien-, Bachelor- und Masterarbeiten","- gute Deutschkenntnisse
- HTML-Kenntnisse
- CSS-Kenntnisse
- PHP-Kenntnisse, SQL-Kenntnisse und/oder Java-Skript-Kenntnisse von Vorteil
- weitere Programmierkenntnisse von Vorteil
- engagierte und leistungsorientierte Arbeitsweise",+49 241 47705-223,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19424/,19424,Programmierung von Websites und Datenbanken,Studentische Hilfskraft
32,FIR e.V. an der RWTH Aachen,"- Mitarbeit in aktuellen Beratungs- und Forschungsprojekten
- Unterstützung im operativen Tagesgeschäft 
- eigenständige Erstellung und Unterstützung bei der Erstellung kleinerer Lösungen/Tools
Bitte schicken Sie bei Interesse Ihre Unterlagen (kurzes Anschreiben, Lebenslauf, Zeugnisse, aktueller Auszug des Notenspiegels) in digitaler Form an die angegebene E-Mail-Adresse.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Es besteht das Interesse an längerfristiger Zusammenarbeit.Die regelmäßige Wochenarbeitszeit beträgt 10-19 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Tobias.Harland@fir.rwth-aachen.de,15.04.2017,Tobias Harland,"Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- interessante und anspruchsvolle Aufgaben
- praxisnahes Wissen und Erfahrung
- die Möglichkeit zur Mitarbeit in Beratungs- und Forschungsprojekten 
- flexible Zeiteinteilung und selbständiges Arbeiten
- die Möglichkeit zur Erstellung von Studien-, Bachelor- und Masterarbeiten","- gute Deutschkenntnisse
- Erfahrungen in der Programmierung kleinerer Lösungen/Tools(unter Windows)
- VBA-Kenntnisse
- Java-Kenntnisse und Erfahrungen mit .net-Sprachen von Vorteil
- weitere Programmierkenntnisse von Vorteil
- engagierte und leistungsorientierte Arbeitsweise",+49 241 47705-223,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19425/,19425,Programmierung kleinerer Tools,Studentische Hilfskraft
33,FIR e.V. an der RWTH Aachen,"- Mitarbeit in aktuellen Beratungs- und Forschungsprojekten
- Unterstützung im operativen Tagesgeschäft 
- Erstellung von kleineren App-Lösungen (Android & iOS) im Rahmen interner und externer Projekte
Bitte schicken Sie bei Interesse Ihre Unterlagen (kurzes Anschreiben, Lebenslauf, Zeugnisse, aktueller Auszug des Notenspiegels) in digitaler Form an die angegebene E-Mail-Adresse.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Es besteht Interesse an längerfristiger Zusammenarbeit.Die regelmäßige Wochenarbeitszeit beträgt 10-19 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Tobias.Harland@fir.rwth-aachen.de,15.04.2017,Tobias Harland,"Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- praxisnahes Wissen und Erfahrung
- die Möglichkeit zur Mitarbeit in Beratungs- und Forschungsprojekten 
- flexible Zeiteinteilung und selbständiges Arbeiten
- die Möglichkeit zur Erstellung von Studien-, Bachelor- und Masterarbeiten","- gute Deutschkenntnisse
- Erfahrungen in der Programmierung von Apps für Android und iOS
- weitere Programmierkenntnisse von Vorteil
- engagierte und leistungsorientierte Arbeitsweise",+49 241 47705-223,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19423/,19423,App-Programmierung (Android & iOS),Studentische Hilfskraft
34,FIR e.V. an der RWTH Aachen,"Im Kontext der Digitalisierung von Unternehmen forscht und berät das FIR in den Themen der IT-Strategie-Gestaltung und deren Umsetzung im Unternehmen. Wir arbeiten mit Unternehmen verschiedenster Größen zusammen und entwickeln neue Ansätze zur Weiterentwicklung des Industriestandortes Deutschland.
Im Einzelnen mit den folgenden Aufgaben: 
- Mitarbeit an wissenschaftlichen und praxisbezogenen Veröffentlichungen,
- Unterstützung von Beratungs- und Forschungsprojekten,
- eigenständige Recherche wissenschaftlicher Texte und Aufbereitung von Literatur,
- Unterstützung im Tagesgeschäft,
- Dokumentation von Ergebnissen aus Projektsitzungen.
Bitte schicken Sie bei Interesse Ihre Unterlagen (kurzes Anschreiben, Lebenslauf, Zeugnisse, aktueller Auszug des Notenspiegels) in digitaler Form an die angegebene E-Mail-Adresse.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Das Interesse an einer langfristigen Zusammenarbeit besteht.Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Joerg.Hoffmann@fir.rwth-aachen.de,15.04.2017,Dipl.-Wi.-Ing. Jörg Hoffmann,"Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- Interessante und anspruchsvolle Aufgaben,
- die Möglichkeit zu praxisnahem Wissenserwerb,
- Zusammenarbeit mit renommierten Unternehmen und Forschungspartnern,
- die Möglichkeit zu flexibler Zeiteinteilung und eigenständigem Arbeiten,
- die Möglichkeit zur Erstellung einer Bachelor-, Master- oder Studienarbeit, durch uns betreut.","- Studierende/r aus den Bereichen Maschinen- oder Wirtschaftsingenieurwesen, Wirtschaftsinformatik oder Informatik,
- sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift,
- sicherer Umgang mit MS-Office-Anwendungen, insb. PowerPoint,
- engagierte, teamorientierte und selbständige Arbeitsweise,
- Erfahrung in der Prozessmodellierung und Spaß an IT-Management Themen,
- beabsichtigte Mindestdauer des Engagements: 1 Jahr.",+49 241 47705-521,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19426/,19426,Beratungs- und Forschungsprojekte im Kontext IT-Strategie ,Studentische Hilfskraft
35,FIR e.V. an der RWTH Aachen,"Im Rahmen unseres Projektes ""eSafeNet"" suchen wir motivierte Verstärkung für unser Team. Inhalt des Projekts ist der Aufbau eines Kommunikationsnetzes mit Hinblick auf das zukünftige Smart Grid. Daran angeschlossen sollen intelligente Dienstleistungen entwickelt und auf einer Plattform den Energiemarktakteuren zu Verfügung gestellt werden. Ihre Aufgabe ist es, einen Feldversuch zur intelligenten Anbindung von Windenergieanlagen inhaltlich zu begleiten und Ergebnisse mit den Projektpartnern abzustimmen.
Im Einzelnen mit den folgenden Aufgaben: 
- Unterstützung des Projektmanagements, 
- eigenständige Bearbeitung von Arbeitspaketen/Workshops des Projekts,
- Mitarbeit an wissenschaftlichen und praxisbezogenen Veröffentlichungen,
- Organisation und Teilnahme an Projekttreffen,
- Kommunikation mit renommierten Projektpartnern.
Bitte schicken Sie bei Interesse Ihre Unterlagen (kurzes Anschreiben, Lebenslauf, Zeugnisse, aktueller Auszug des Notenspiegels) in digitaler Form an die angegebene E-Mail-Adresse.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Es besteht Interesse an einer langfristigen Zusammenarbeit.Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Frederick.Birtel@fir.rwth-aachen.de,15.04.2017,"Frederick Birtel, M.Sc.","Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- Interessante, abwechslungsreiche und anspruchsvolle Aufgaben,
- Möglichkeit zu praxis-, industrienahem Wissenserwerb in einem dynamischen Arbeitsumfeld,
- flexible Zeiteinteilung und selbstständiges Arbeiten,
- Aussicht auf spannende Studien-, Bachelor- und Masterarbeiten.","- Studierende/r aus den Bereichen Maschinen- oder Wirtschaftsingenieurwesen,
- Interesse im Bereich Dienstleistungsmanagement,
- sehr gute Kenntnisse mit MS-Office-Anwendungen,
- engagierte, teamorientierte und selbständige Arbeitsweise,
- fließende Deutsch- und sehr gute Englischkenntnisse,
- beabsichtigte Mindestdauer des Engagements: mind. 1 Jahr.",+49 241 47705-204,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19428/,19428,Entwicklungen von Services im Smart Grid,Studentische Hilfskraft
36,FIR e.V. an der RWTH Aachen,"Wir suchen motivierte Verstärkung für unser Team im Competence-Center Instandhaltung. Das Competence-Center Instandhaltung forscht an relevanten Fragestellungen der betrieblichen Instandhaltung und begleitet Unternehmen als umfassender Kompetenzträger im Bereich Instandhaltungsmanagement. 
Im Einzelnen mit den folgenden Aufgaben: 
- Unterstützung von Industrie- und Forschungsprojekten,
- Mitarbeit an wissenschaftlichen und praxisbezogenen Veröffentlichungen,
- Durchführung und Auswertung von Studien,
- eigenständige Recherche wissenschaftlicher Texte und Aufbereitung von Literatur,
- Unterstützung im Tagesgeschäft.
Bitte schicken Sie bei Interesse Ihre Unterlagen (kurzes Anschreiben, Lebenslauf, Zeugnisse, aktueller Auszug des Notenspiegels) in digitaler Form an die angegebene E-Mail-Adresse.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Es besteht das Interesse an langfristiger Beschäftigung.Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Frederick.Birtel@fir.rwth-aachen.de,15.04.2017,"Frederick Birtel, M.Sc.","Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- Interessante und anspruchsvolle Aufgaben,
- die Möglichkeit zu praxisnahem Wissenserwerb,
- Zusammenarbeit mit renommierten Unternehmen und Forschungspartnern,
- die Möglichkeit zu flexibler Zeiteinteilung und eigenständigem Arbeiten.","- Studierende/r aus den Bereichen Maschinen- oder Wirtschaftsingenieurwesen,
- sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift,
- sicherer Umgang mit MS-Office-Anwendungen,
- engagierte, teamorientierte und selbständige Arbeitsweise,
- beabsichtigte Mindestdauer des Engagements: 1 Jahr.",+49 241 47705-204,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19431/,19431,für das Competence-Center Instandhaltung,Studentische Hilfskraft
37,FIR e.V. an der RWTH Aachen,"Das zukünftige Energiemanagement in Unternehmen wird sich maßgeblich verändern. Regenerative Energien und Speichertechnologien werden vermehrt die konventionelle Energieerzeugung ablösen. Daher bedarf es für die Zukunft neuer Konzepte und Lösungen zur Gestaltung der Energiewende. Der Schwerpunkt des Projekts liegt auf der Ausgestaltung der Produktionsplanung in Kombination mit der Gestaltung des Strommarktes 2.0. Im Kern soll eine Plattform zur Lastflexibilisierung entstehen, die sich den neuen Herausforderungen annimmt.
Aufgabenfelder: 
- Mitarbeit an wissenschaftlichen und praxisbezogenen Veröffentlichungen,
- Unterstützung in einem Forschungsprojekt zum Thema Energie in der Produktion,
- eigenständige Recherche wissenschaftlicher Texte und Aufbereitung von Literatur,
- Unterstützung im Tages- und Projektgeschäft sowie Dokumentation von Ergebnissen,
- Vorbereitung von Workshops, Veranstaltungen und Treffen.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Jens.Adema@fir.rwth-aachen.de,15.04.2017,Dipl.-Wirt.-Ing. Jens Adema,"Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- Ein spannendes Projekt im Kontext des Produktions- und Energiemanagements,
- interessante, abwechslungsreiche sowie anspruchsvolle Aufgaben,
- Zusammenarbeit mit renommierten Unternehmen und Forschungspartnern,
- die Möglichkeit zu flexibler Zeiteinteilung und eigenständigem Arbeiten
- sowie zum Anfertigen wissenschaftlicher Arbeiten (PA/BA/MA).","- Studierende/r aus den Bereichen Maschinen- oder Wirtschaftsingenieurwesen, mit Affinität zum Themenbereich Energie- und Produktionsmanagement,
- sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift,
- sicherer Umgang mit MS-Office-Anwendungen,
- engagierte, teamorientierte und selbständige Arbeitsweise,
- beabsichtigte Mindestdauer des Engagements: 1 Jahr.",+49 241 47705-422,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19434/,19434,Studentische Hilfskraft zum Thema Energie in der Produktion,Studentische Hilfskraft
38,FIR e.V. an der RWTH Aachen,"In der Gruppe Supply-Chain-Management (SCM) beschäftigen wir uns u. a. mit der Gestaltung und informationstechnischen Unterstützung von Geschäftsprozessen produzierender  Unternehmen sowie von Logistikdienstleistern im überbetrieblichen Kontext. Neben der Gestaltung und Organisation von Logistiksystemen werden neue Entwicklungen sowie Technologien  (Industrie 4.0), eine Vielzahl an Daten und neue Geschäftsmodelle verstärkten Einfluss auf die Gestaltung von Versorgungs-, Produktions- oder  Liefernetzwerken nehmen. Hier sind wir u. a. in der Forschung tätig und adressieren aktuelle und zukünftige Herausforderungen der Industrie.
Aufgabenfelder: 
- Unterstützung und Mitarbeit in aktuellen Forschungs- und Industrieprojekten,
- Mitarbeit an wissenschaftlichen und praxisbezogenen Veröffentlichungen,
- eigenständige Recherche wissenschaftlicher Texte und Aufbereitung von Fachliteratur,
- Vorbereitung und Erstellen von Artikeln, Präsentationen, Kalkulationen und Auswertungen.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Jens.Adema@fir.rwth-aachen.de,15.04.2017,Dipl.-Wirt.-Ing. Jens Adema,"Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- Interessante, abwechslungsreiche sowie anspruchsvolle Aufgaben,
- Mitarbeit an Projekten mit renommierten Unternehmen und Forschungspartnern,
- die Möglichkeit zu flexibler Zeiteinteilung und eigenständigem Arbeiten
- sowie die Möglichkeit zum Anfertigen wissenschaftlicher Arbeiten (PA/BA/MA).","- Studierende/r aus den Bereichen Maschinen- oder Wirtschaftsingenieurwesen, mit Affinität zu den Themen SCM, Industrie 4.0 und Digitalisierung,
- sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift,
- sehr gute Kenntnisse im Umgang mit MS-Office-Anwendungen,
- engagierte, teamorientierte und selbständige Arbeitsweise,
- beabsichtigte Mindestdauer des Engagements: 1 Jahr.",+49 241 47705-422,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19435/,19435,Produktionsmanagement / SCM,Studentische Hilfskraft
39,FIR e.V. an der RWTH Aachen,"Entwickeln Sie mit uns gemeinsam aussagekräftige Visionen für die industriellen Dienstleistungen der Zukunft. Wir erforschen in spannenden Projekten mit der Industrie die Auswirkungen der Digitalisierung und digitalen Vernetzung auf industrielle Unternehmen. Wir entwickeln Strategien und Geschäftsmodelle, aber auch Prototypen für digitale Services in den Bereichen Smart Mobility, Smart Maintenance, Smart Logistics und Smart Infrastructure.
Ihre Aufgaben umfassen: 
- Visualisieren komplexer Inhalte,
- Gestalten von Präsentationen in PowerPoint,
- Entwicklung von Zielbildern und Visionen für Projekte,
- Vorbereitung, Durchführung und Begleitung sowie Nachbereitung von Workshops,
- Unterstützung in Industrie- und Forschungsprojekten,
- Unterstützung im Tagesgeschäft,
- Dokumentation von Ergebnissen.","Die Stelle ist zum nächstmöglichen Zeitpunkt zu besetzen und befristet auf 1 Jahr. Die regelmäßige Wochenarbeitszeit beträgt 10 Stunden. Die Eingruppierung richtet sich nach der Richtlinie für studentische und wissenschaftliche Hilfskräfte.Die RWTH ist als familiengerechte Hochschule zertifiziert.Wir wollen an der RWTH Aachen besonders die Karrieren von Frauen fördern und freuen uns daher über Bewerberinnen.Frauen werden bei gleicher Eignung, Befähigung und fachlicher Leistung bevorzugt berücksichtigt, sofern sie in der Organisationseinheit unterrepräsentiert sind und sofern nicht in der Person eines Mitbewerbers liegende Gründe überwiegen.Bewerbungen geeigneter schwerbehinderter Menschen sind ausdrücklich erwünscht.",mailto:Philipp.Jussen@fir.rwth-aachen.de,15.04.2017,Dr.-Ing. Philipp Jussen,"Das FIR ist eine branchenübergreifende Forschungseinrichtung an der RWTH Aachen. Als leitendes Institut des Clusters Smart Logistik auf dem RWTH Aachen Campus arbeiten wir forschungs- und industrieseitig an spannenden Themenstellungen komplexer Wertschöpfungsketten.
Wir bieten:
- Interessante und anspruchsvolle Aufgaben,
- die Möglichkeit zu praxisnahem Wissenserwerb,
- Zusammenarbeit mit renommierten Unternehmen und Forschungspartnern,
- die Möglichkeit zu flexibler Zeiteinteilung und eigenständigem Arbeiten.","- Studierende/r aus dem Designumfeld,
- sehr gute Deutsch- und Englischkenntnisse in Wort und Schrift,
- sicherer Umgang mit MS-Office-Anwendungen und Grafik-Tools,
- engagierte, teamorientierte und selbständige Arbeitsweise,
- beabsichtigte Mindestdauer des Engagements: 1 Jahr.",+49 241 47705-202,http://www.rwth-aachen.de/cms/root/Die-RWTH/Jobs-Ausbildung/Jobboerse/~kbag/JOB-Einzelansicht/file/19438/,19438,Design und Visualisierung,Studentische Hilfskraft
